cluster,year_week,year,week,num_hechos,date_year_week,year_month
0,2014 09,2014,09,9,2014-03-09,2014-3
0,2014 10,2014,10,3,2014-03-16,2014-3
0,2014 11,2014,11,4,2014-03-23,2014-3
0,2014 12,2014,12,3,2014-03-30,2014-3
0,2014 13,2014,13,4,2014-04-06,2014-4
0,2014 14,2014,14,3,2014-04-13,2014-4
0,2014 15,2014,15,3,2014-04-20,2014-4
0,2014 16,2014,16,1,2014-04-27,2014-4
0,2014 18,2014,18,4,2014-05-11,2014-5
0,2014 19,2014,19,4,2014-05-18,2014-5
0,2014 20,2014,20,5,2014-05-25,2014-5
0,2014 21,2014,21,1,2014-06-01,2014-6
0,2014 22,2014,22,1,2014-06-08,2014-6
0,2014 23,2014,23,4,2014-06-15,2014-6
0,2014 24,2014,24,4,2014-06-22,2014-6
0,2014 25,2014,25,1,2014-06-29,2014-6
0,2014 26,2014,26,2,2014-07-06,2014-7
0,2014 27,2014,27,4,2014-07-13,2014-7
0,2014 28,2014,28,2,2014-07-20,2014-7
0,2014 29,2014,29,1,2014-07-27,2014-7
0,2014 30,2014,30,3,2014-08-03,2014-8
0,2014 31,2014,31,4,2014-08-10,2014-8
0,2014 32,2014,32,6,2014-08-17,2014-8
0,2014 33,2014,33,6,2014-08-24,2014-8
0,2014 34,2014,34,6,2014-08-31,2014-8
0,2014 35,2014,35,3,2014-09-07,2014-9
0,2014 36,2014,36,4,2014-09-14,2014-9
0,2014 37,2014,37,3,2014-09-21,2014-9
0,2014 38,2014,38,1,2014-09-28,2014-9
0,2014 39,2014,39,3,2014-10-05,2014-10
0,2014 40,2014,40,1,2014-10-12,2014-10
0,2014 42,2014,42,3,2014-10-26,2014-10
0,2014 43,2014,43,1,2014-11-02,2014-11
0,2014 44,2014,44,1,2014-11-09,2014-11
0,2014 45,2014,45,1,2014-11-16,2014-11
0,2014 46,2014,46,3,2014-11-23,2014-11
0,2014 47,2014,47,2,2014-11-30,2014-11
0,2014 48,2014,48,4,2014-12-07,2014-12
0,2014 49,2014,49,3,2014-12-14,2014-12
0,2014 51,2014,51,6,2014-12-28,2014-12
0,2014 52,2014,52,6,2015-01-04,2014-1
0,2015 01,2015,01,1,2015-01-11,2015-1
0,2015 02,2015,02,1,2015-01-18,2015-1
0,2015 03,2015,03,3,2015-01-25,2015-1
0,2015 04,2015,04,3,2015-02-01,2015-2
0,2015 05,2015,05,2,2015-02-08,2015-2
0,2015 06,2015,06,5,2015-02-15,2015-2
0,2015 07,2015,07,4,2015-02-22,2015-2
0,2015 08,2015,08,4,2015-03-01,2015-3
0,2015 09,2015,09,3,2015-03-08,2015-3
0,2015 10,2015,10,3,2015-03-15,2015-3
0,2015 11,2015,11,4,2015-03-22,2015-3
0,2015 12,2015,12,2,2015-03-29,2015-3
0,2015 13,2015,13,3,2015-04-05,2015-4
0,2015 14,2015,14,4,2015-04-12,2015-4
0,2015 15,2015,15,2,2015-04-19,2015-4
0,2015 16,2015,16,3,2015-04-26,2015-4
0,2015 17,2015,17,2,2015-05-03,2015-5
0,2015 18,2015,18,5,2015-05-10,2015-5
0,2015 19,2015,19,4,2015-05-17,2015-5
0,2015 20,2015,20,3,2015-05-24,2015-5
0,2015 21,2015,21,8,2015-05-31,2015-5
0,2015 22,2015,22,9,2015-06-07,2015-6
0,2015 23,2015,23,4,2015-06-14,2015-6
0,2015 24,2015,24,11,2015-06-21,2015-6
0,2015 25,2015,25,1,2015-06-28,2015-6
0,2015 26,2015,26,7,2015-07-05,2015-7
0,2015 27,2015,27,7,2015-07-12,2015-7
0,2015 28,2015,28,5,2015-07-19,2015-7
0,2015 29,2015,29,6,2015-07-26,2015-7
0,2015 30,2015,30,5,2015-08-02,2015-8
0,2015 31,2015,31,4,2015-08-09,2015-8
0,2015 32,2015,32,3,2015-08-16,2015-8
0,2015 33,2015,33,5,2015-08-23,2015-8
0,2015 34,2015,34,2,2015-08-30,2015-8
0,2015 35,2015,35,8,2015-09-06,2015-9
0,2015 36,2015,36,5,2015-09-13,2015-9
0,2015 37,2015,37,6,2015-09-20,2015-9
0,2015 38,2015,38,5,2015-09-27,2015-9
0,2015 39,2015,39,3,2015-10-04,2015-10
0,2015 40,2015,40,5,2015-10-11,2015-10
0,2015 41,2015,41,4,2015-10-18,2015-10
0,2015 42,2015,42,6,2015-10-25,2015-10
0,2015 43,2015,43,6,2015-11-01,2015-11
0,2015 44,2015,44,4,2015-11-08,2015-11
0,2015 45,2015,45,6,2015-11-15,2015-11
0,2015 46,2015,46,7,2015-11-22,2015-11
0,2015 47,2015,47,3,2015-11-29,2015-11
0,2015 48,2015,48,7,2015-12-06,2015-12
0,2015 49,2015,49,2,2015-12-13,2015-12
0,2015 50,2015,50,2,2015-12-20,2015-12
0,2015 51,2015,51,3,2015-12-27,2015-12
0,2015 52,2015,52,6,2016-01-03,2015-1
0,2015 53,2015,53,1,2016-01-10,2015-1
0,2016 01,2016,01,2,2016-01-10,2016-1
0,2016 02,2016,02,2,2016-01-17,2016-1
0,2016 03,2016,03,6,2016-01-24,2016-1
0,2016 04,2016,04,7,2016-01-31,2016-1
0,2016 05,2016,05,6,2016-02-07,2016-2
0,2016 06,2016,06,4,2016-02-14,2016-2
0,2016 07,2016,07,3,2016-02-21,2016-2
